pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
K2-52 b,K2-52,3.535155,0.054,,16.6,548.7628693799996,,,1124.0,2004.0,86.46,7147.0,2.07,1.69,,0.055,3.98,1038.41,0.939381,1038.41,Transit,2016,Gas Giant
K2-53 b,K2-53,12.20773,0.098,,2.34,191.0287044400001,,,52.5,665.0,89.32,5263.0,0.71,0.85,-0.579,-0.037,4.55,138.018,7.21733,138.018,Transit,2016,Unknown
K2-55 b,K2-55,2.8492816,0.035,0.07,4.07,130.83094481999976,,,141.3,912.0,88.2,4456.0,0.63,0.7,-0.784,,4.67,159.522,6.23997,159.522,Transit,2016,Unknown
K2-57 b,K2-57,9.0073,0.0752,0.25,2.309,126.6147090399999,,,24.1,636.0,88.95,4413.0,0.67,0.7,-0.812,0.08,4.63,264.213,3.75615,264.213,Transit,2016,Unknown
K2-58 b,K2-58,7.05235,0.0692,,2.72,199.6069863600002,,,118.0,881.144,88.855,5134.0,0.84,0.86,-0.398,0.11,4.54,181.746,5.47374,181.746,Transit,2016,Unknown
K2-58 c,K2-58,2.53712,0.035,,1.71,299.5189355000001,,,462.0,1222.252,86.1,5134.0,0.84,0.86,,0.11,4.54,181.746,5.47374,181.746,Transit,2016,Unknown
K2-58 d,K2-58,22.882,0.1517,,1.84,286.64657190000025,,,24.6,589.118,89.431,5134.0,0.84,0.86,,0.11,4.54,181.746,5.47374,181.746,Transit,2016,Unknown
K2-6 b,K2-6,30.9403,0.1882,,2.44,268.31230088000024,,,28.6,615.0,89.42,5617.0,0.86,0.93,,-0.12,4.67,316.819,3.12897,316.819,Transit,2015,Unknown
K2-60 b,K2-60,3.002654,0.045,0.0,10.45,135.39558,135.39558,1.7,4289.27,2254.0,88.49,5630.0,1.52,0.97,0.282,0.01,4.11,491.87,2.00523,491.87,Transit,2016,Gas Giant
K2-61 b,K2-61,2.57333,0.0392,,2.03,164.3521986200001,,,1686.0,1710.74,85.996,5761.0,1.05,1.03,-0.015,0.17,4.38,405.732,2.43694,405.732,Transit,2016,Unknown
K2-62 b,K2-62,6.67196,0.0636,,1.697,184.60740362000013,,,66.0,747.776,89.1,4636.0,0.58,0.68,-0.727,-0.29,4.7,112.467,8.86281,112.467,Transit,2016,Unknown
K2-62 c,K2-62,16.19803,0.1148,,1.73,267.59833406000007,,,20.5,547.512,89.605,4636.0,0.58,0.68,,-0.29,4.7,112.467,8.86281,112.467,Transit,2016,Unknown
K2-64 b,K2-64,6.53142,0.0619,,2.79,193.31280998000008,,,98.0,803.732,,5391.0,0.87,0.94,-0.234,,4.53,499.891,1.97291,499.891,Transit,2016,Unknown
K2-65 b,K2-65,12.64655,0.1014,,1.47,260.10773514,,,45.0,664.844,89.148,4799.0,0.72,0.7,,-0.34,4.55,,15.5932,,Transit,2016,Unknown
K2-68 b,K2-68,8.05423,0.0708,,1.73,263.30287702000027,,,41.0,657.614,88.715,4893.0,0.66,0.75,,-0.21,4.74,168.652,5.90092,168.652,Transit,2016,Unknown
K2-7 b,K2-7,28.6781,0.1867,0.24,4.035,350.6385128599999,,,125.0,786.0,89.08,5700.0,1.53,1.06,0.35,0.049,4.09,738.553,1.32514,738.553,Transit,2015,Unknown
K2-70 b,K2-70,13.9782,0.1112,,2.69,207.63186532,,,62.0,730.31,89.145,5131.0,0.78,0.85,-0.429,0.06,4.53,232.964,4.26498,232.964,Transit,2016,Unknown
K2-73 b,K2-73,7.49569,0.07619,,2.71,172.37487325999996,,,213.0,992.898,88.443,5844.0,1.08,1.04,0.076,0.09,4.35,269.183,3.68643,269.183,Transit,2016,Unknown
K2-74 b,K2-74,19.5688,0.1402,,3.66,276.81444989999966,,,59.1,731.422,88.92,5929.0,1.05,0.99,,-0.21,4.24,377.822,2.6188,377.822,Transit,2016,Unknown
K2-75 b,K2-75,7.81751,0.081,,3.08,308.5691459999998,,,430.0,1123.58,87.413,6022.0,1.49,1.17,,0.3,4.26,561.93,1.75175,561.93,Transit,2016,Unknown
K2-75 c,K2-75,18.289,0.1429,,3.16,315.13260719999994,,,138.0,865.408,88.796,6022.0,1.49,1.17,,0.3,4.26,561.93,1.75175,561.93,Transit,2016,Unknown
K2-77 b,K2-77,8.2000844,0.0753,0.29,2.5,603.877,603.877,,58.2,806.0,88.33,5160.0,0.79,0.85,-0.397,0.13,4.57,141.731,7.02703,141.731,Transit,2016,Unknown
K2-79 b,K2-79,10.9947,0.0988,0.23,4.09,9.2,9.2,0.73,181.0,1022.0,88.44,5897.0,1.26,1.07,,0.035,4.25,256.011,3.8775,256.011,Transit,2016,Unknown
K2-8 b,K2-8,10.3516,0.0877,,2.86,194.01002190000003,,,52.0,631.0,86.42,4779.0,0.71,0.77,-0.553,0.01,4.55,403.513,2.45137,403.513,Transit,2015,Unknown
K2-8 c,K2-8,5.06347,0.0545,,2.32,304.5953725799998,,,135.0,801.0,86.7,5147.0,0.71,0.84,,-0.02,4.56,403.513,2.45137,403.513,Transit,2016,Unknown
K2-81 b,K2-81,6.10241,0.059,0.06,2.38,100.34230811999991,,,62.9,772.11,89.29,4674.13,0.7,0.75,-0.569,,4.57,252.318,3.93486,252.318,Transit,2016,Unknown
K2-83 c,K2-83,9.99791,0.076,0.06,1.7,82.77039273999978,,,6.9,401.59,89.51,3875.75,0.42,0.59,-1.204,,4.68,125.529,7.9375,125.529,Transit,2016,Unknown
K2-85 b,K2-85,0.684559,0.013,0.24,1.2,167.2225178999998,,,1069.1,1673.862,89.4,4427.0,0.68,0.68,-0.812,-0.36,4.3,97.2179,10.2574,97.2179,Transit,2016,Unknown
K2-87 b,K2-87,9.72664,0.094,,8.42,492.2137376000002,,,361.74,979.0,87.74,5747.0,1.51,1.16,,0.328,4.21,491.242,2.00706,491.242,Transit,2016,Gas Giant
K2-9 b,K2-9,18.44951,0.1098,,3.09,208.1443228400002,,,4.4,314.0,87.983,4052.0,0.47,0.52,-1.921,-0.25,4.82,82.9631,12.025,82.9631,Transit,2015,Unknown
K2-90 b,K2-90,13.73288,0.096,0.07,2.64,75.36869111999991,,,10.2,502.0,89.24,4484.0,0.65,0.63,-0.953,-0.225,4.65,134.188,7.42337,134.188,Transit,2016,Unknown
K2-91 b,K2-91,1.419714,0.018,0.09,1.18,119.07875513999976,,,56.1,784.562,88.62,3488.9,0.28,0.38,-1.841,,4.86,62.5785,15.9515,62.5785,Transit,2016,Unknown
K2-95 b,K2-95,10.1346454,0.0525,0.16,3.31,124.11464309999975,,,,474.0,89.4,3566.0,0.4,0.41,-1.678,0.1,4.85,179.854,5.53519,179.854,Transit,2016,Unknown
K2-97 b,K2-97,8.407115,0.0854,0.207,13.451,174.4878,174.4878,0.392,114.15,1566.0,75.5,4673.0,4.14,1.17,0.867,0.328,3.28,878.43,1.10927,878.43,Transit,2016,Gas Giant
K2-98 b,K2-98,10.1367349,0.0986,0.119,5.066,34.00764,34.00764,1.4,992.26,1185.0,88.39,6260.0,1.52,1.25,0.504,-0.044,4.17,518.625,1.89991,518.625,Transit,2016,Unknown
K2-99 b,K2-99,18.24841,0.1597,0.19,12.48,308.2951,308.2951,,,1113.0,87.633,6217.0,2.71,1.63,0.961,0.21,3.81,519.229,1.89836,519.229,Transit,2016,Gas Giant
KELT-1 b,KELT-1,1.21749415,0.02466,0.0013,12.138,8654.15,8654.15,24.7,5879.56,2233.0,86.8,6518.0,1.46,1.32,0.542,0.131,4.25,268.43,3.69704,268.43,Transit,2012,Gas Giant
KELT-10 b,KELT-10,4.1662541,0.0525,,14.537,215.80657,215.80657,0.308,533.34,1226.0,88.6,5948.0,1.21,1.11,0.217,0.09,4.32,188.404,5.28004,188.404,Transit,2016,Gas Giant
KELT-11 b,KELT-11,4.7362006,0.0625,0.0007,13.575,70.55826,54.34893,0.093,468.26,1186.0,85.3,5370.0,2.72,1.44,0.744,0.18,3.73,99.1596,10.0562,99.1596,Transit,2017,Unknown
KELT-12 b,KELT-12,5.0316328,0.06708,0.0,15.4,301.9385,301.9385,0.209,1248.65,1656.0,84.5,6279.0,2.37,1.59,0.892,0.19,3.89,368.03,2.68846,368.03,Transit,2017,Gas Giant
KELT-14 b,KELT-14,1.71005328,0.03005,0.0,17.219,408.09372,408.09372,0.322,826.11,1493.0,78.3,5720.0,1.52,1.24,0.279,0.32,4.17,250.121,3.96931,250.121,Transit,2016,Gas Giant
KELT-15 b,KELT-15,3.329466,0.04613,0.0,16.027,416.3573,416.3573,0.36,1612.76,1616.0,88.3,6003.0,1.48,1.18,0.412,0.047,4.17,324.683,3.05121,324.683,Transit,2016,Gas Giant
KELT-16 b,KELT-16,0.96899296,0.02044,0.0,17.133,874.0325,874.0325,1.2,6992.03,2332.0,84.4,6236.0,1.36,1.21,0.401,-0.002,4.25,444.586,2.22084,444.586,Transit,2017,Gas Giant
KELT-17 b,KELT-17,3.08017985,0.04881,,17.061,416.3573,416.3573,0.46,3331.87,1938.0,84.87,7454.0,1.65,1.64,0.876,-0.018,4.22,226.5,4.38678,226.5,Transit,2016,Gas Giant
KELT-18 b,KELT-18,2.8716995,0.0455,0.0,18.127,375.0394,375.0394,0.377,4494.25,2281.0,88.9,6670.0,1.91,1.52,0.813,0.09,4.06,321.376,3.08284,321.376,Transit,2017,Gas Giant
KELT-19 A b,KELT-19 A,4.6117361,0.0637,,21.409,1293.5681,1293.5681,0.744,2340.0,1935.0,85.41,7500.0,1.83,1.62,0.978,-0.12,4.13,300.276,3.30249,300.276,Transit,2017,Gas Giant
KELT-2 A b,KELT-2 A,4.11377556,0.05497,0.081,15.037,485.32641,485.32641,0.91,3108.45,2080.0,88.6,6151.0,1.83,1.31,,0.034,3.99,134.058,7.43094,134.058,Transit,2012,Gas Giant
KELT-20 b,KELT-20,3.47410042,0.057,0.0,20.512,5403.11,5403.11,0.806,4362.5,2260.0,86.12,8720.0,1.56,1.76,1.104,-0.29,4.29,136.426,7.30148,136.426,Transit,2017,Gas Giant
KELT-21 b,KELT-21,3.61276958,0.05224,0.0,17.777,1242.7153,1242.7153,1.24,2950.0,2051.0,86.46,7598.0,1.64,1.46,0.905,-0.405,4.17,470.878,2.0953,470.878,Transit,2018,Gas Giant
KELT-23 A b,KELT-23 A,2.25528745,0.03302,0.0,14.83,298.12454,298.12454,0.503,991.18,1561.0,85.96,5899.0,1.0,0.94,0.034,-0.105,4.42,126.261,7.89124,126.261,Transit,2019,Gas Giant
KELT-24 b,KELT-24,5.55149296,0.0665,0.0319,12.711,1458.83239,1458.83239,3.9,624.0,1391.0,89.67,6426.0,1.34,1.27,0.439,0.138,4.29,96.5173,10.332,96.5173,Transit,2019,Gas Giant
KELT-3 b,KELT-3,2.7033904,0.04123,0.0,15.132,467.20776,467.20776,0.75,1704.57,1790.0,84.2,6306.0,1.47,1.28,0.489,0.04,4.21,210.252,4.73153,210.252,Transit,2013,Gas Giant
KELT-4 A b,KELT-4 A,2.989594,0.04317,0.03,19.055,286.04557,286.04557,0.228,1949.87,1695.0,83.16,6207.0,1.6,1.2,0.535,0.12,4.11,218.05,4.55767,218.05,Transit,2016,Gas Giant
KELT-6 b,KELT-6,7.8456043,0.0804,0.036,14.287,140.48086,140.48086,0.333,718.19,1442.0,88.8,6102.0,1.58,1.08,0.493,-0.281,4.07,240.726,4.1255,240.726,Transit,2014,Gas Giant
KELT-7 b,KELT-7,2.7347656,0.04415,0.0,17.759,441.7837,441.7837,0.442,1793.88,1813.0,83.8,6789.0,1.73,1.53,0.758,0.139,4.15,136.681,7.28791,136.681,Transit,2015,Gas Giant
KELT-8 b,KELT-8,3.24408156,0.0455,0.04,21.05,272.69814,272.69814,0.165,983.31,1428.0,82.7,5754.0,1.67,1.21,0.265,0.272,4.08,197.572,5.03267,197.572,Transit,2015,Gas Giant
KELT-9 b,KELT-9,1.48111874,0.03462,0.0,19.986,775.5052,775.5052,0.53,33326.73,3446.0,86.79,10170.0,2.36,2.52,1.724,-0.03,4.09,204.455,4.86254,204.455,Transit,2017,Gas Giant
KIC 5437945 b,KIC 5437945,440.786134,1.19671,0.0,8.993,580.6678577200004,,,2.9,308.0,89.84,6054.0,1.87,1.18,0.641,-0.04,3.9,1274.01,0.756155,1274.01,Transit,2015,Unknown
KIC 9663113 b,KIC 9663113,572.383277,1.55346,0.0,8.042,845.0848707599997,,,2.6,264.0,89.7,6218.0,2.15,1.52,0.792,0.25,3.81,1594.74,0.598486,1594.74,Transit,2015,Unknown
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,,4.6,,5.333726000000003,10.9,10.9,,,640.848,,,,0.39,,,,6000.0,,6000.0,Microlensing,2018,Unknown
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,,2.63,,5.334038000000004,12.14,12.14,,,641.416,,,,0.43,,,,5420.0,,5420.0,Microlensing,2023,Unknown
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,,2.7,,11.272305999999991,730.0,730.0,,,655.966,,,,0.53,,,,6500.0,,6500.0,Microlensing,2019,Unknown
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,,0.763,,10.380921999999996,111.0,111.0,,,746.202,,,,0.09,,,,967.0,,967.0,Microlensing,2019,Unknown
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,,3.1,,5.332954000000004,9.2,9.2,,,654.526,,,,0.7,,,,4900.0,,4900.0,Microlensing,2022,Unknown
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,,1.4,,11.282073999999993,619.76539,619.76539,,,727.692,,,,0.74,,,,4410.0,,4410.0,Microlensing,2022,Unknown
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,,2.359,,5.374934000000004,28.60456,28.60456,,,727.774,,,,0.37,,,,2649.0,,2649.0,Microlensing,2023,Unknown
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,,2.8,,11.21968,404.0,404.0,,,659.048,,,,0.49,,,,6000.0,,6000.0,Microlensing,2020,Unknown
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,,3.11,,5.402922000000004,4.63,4.63,,,664.65,,,,0.73,,,,6680.0,,6680.0,Microlensing,2023,Unknown
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,10.744603999999995,200.0,200.0,,,697.386,,,,0.31,,,,7040.0,,7040.0,Microlensing,2020,Unknown
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,,1.79,,4.662408000000003,1.21,1.21,,,728.916,,,,0.36,,,,1220.0,,1220.0,Microlensing,2021,Unknown
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,,0.16,,11.211872000000003,7405.40188,7405.40188,,,955.566,,,,0.36,,,,1220.0,,1220.0,Microlensing,2021,Gas Giant
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,,3.23,,11.536725999999994,1897.43559,1897.43559,,,785.878,,,,0.69,,,,3510.0,,3510.0,Microlensing,2022,Unknown
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,,3.6,,5.658480000000003,5.8,5.8,,,738.374,,5200.0,,0.79,,,,4800.0,,4800.0,Microlensing,2022,Unknown
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,,1.62,,5.407616000000005,34.96112,34.96112,,,647.26,,,,0.27,,,,5120.0,,5120.0,Microlensing,2022,Unknown
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,3.1,,6.109132000000002,66.74397,66.74397,,,641.106,,,,0.56,,,,6600.0,,6600.0,Microlensing,2022,Unknown
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,,4.79,,11.876131999999988,772.32303,772.32303,,,874.204,,,,1.17,,,,4140.0,,4140.0,Microlensing,2023,Gas Giant
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,,1.76,,5.364600000000004,17.42,17.42,,,640.848,,,,0.22,,,,6780.0,,6780.0,Microlensing,2022,Unknown
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,,1.63,,5.397160000000005,3.57,3.57,,,639.882,,,,0.23,,,,6720.0,,6720.0,Microlensing,2022,Unknown
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,,3.3,,5.901928000000001,39.0,39.0,,,651.568,,4570.0,,0.68,,,,5000.0,,5000.0,Microlensing,2022,Unknown
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,,0.94,,5.348004000000002,22.24799,22.24799,,,638.512,,,,0.11,,,,6860.0,,6860.0,Microlensing,2022,Unknown
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,,3.73,,11.492025999999996,1954.6447,1954.6447,,,696.656,,,,0.61,,,,6330.0,,6330.0,Microlensing,2024,Unknown
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,,1.18,,11.052949999999996,200.2319,200.2319,,,665.662,,,,0.17,,,,7220.0,,7220.0,Microlensing,2024,Unknown
KOI-12 b,KOI-12,17.8552276,0.1491,0.0,14.433,349.613,349.613,,196.51,911.0,88.95,6820.0,1.63,1.45,0.626,0.09,4.34,399.398,2.4753,399.398,Transit,2015,Gas Giant
KOI-1257 b,KOI-1257,86.64767898,0.3786,0.0,9.4,460.83,460.83,2.1,7.28,419.0,90.0,5522.0,1.12,0.96,,0.26,4.32,,,,Transit,2014,Unknown
KOI-13 b,KOI-13,1.76358762,0.0386,0.00064,17.627,2949.4624,2949.4624,3.6,25339.9,3559.0,86.77,8848.0,2.44,1.83,,0.07,3.93,519.096,1.9053,519.096,Transit,2011,Gas Giant
KOI-142 b,KOI-142,10.91610834,0.095822,0.0,3.796,11.3568,9.5,1.14401,70.5,758.0,90.97,5466.0,0.9,0.98,-0.165,0.27,4.45,376.863,2.62461,376.863,Transit,2013,Mini-Neptune
KOI-1599.01,KOI-1599,20.4415,0.14728,0.014,1.9,4.6,4.6,,44.8,660.0,89.78,5833.0,0.97,1.02,0.162,0.06,4.32,1131.64,0.855436,1131.64,Transit,2019,Unknown
KOI-1599.02,KOI-1599,13.6088,0.112293,0.0114,1.9,9.0,9.0,,76.81,755.0,88.6,5833.0,0.97,1.02,0.162,0.06,4.32,1131.64,0.855436,1131.64,Transit,2019,Hot Super-Earth
KOI-1783.01,KOI-1783,134.4628,0.52661,0.0,8.86,71.0,71.0,0.56,5.7,412.0,89.441,5922.0,1.14,1.08,0.213,0.11,4.3,865.73,1.12637,865.73,Transit,2020,Unknown
KOI-1783.02,KOI-1783,284.215,0.86695,0.0,5.44,15.0,15.0,0.51,2.49,321.0,89.65,5922.0,1.14,1.08,0.213,0.11,4.3,865.73,1.12637,865.73,Transit,2020,Unknown
KOI-1831 d,Kepler-324,34.169,0.19924,0.0,1.13,2.23,2.23,9.95,11.8,475.0,89.62,5233.0,0.83,0.9,-0.308,0.18,4.52,501.574,1.96487,501.574,Transit,2021,Unknown
KOI-1833 d,Kepler-968,7.685,0.0634,0.0,2.58,11.02,11.02,4.5,27.35,613.0,86.87,4413.0,0.67,0.68,-0.763,-0.58,4.59,290.324,3.41557,290.324,Transit,2021,Mini-Neptune
KOI-217 b,KOI-217,3.9050824,0.0485,0.0,12.505,293.78692444,,,272.03,1046.0,89.37,5381.0,0.95,0.93,-0.169,0.11,4.45,914.699,1.06473,914.699,Transit,2010,Gas Giant
KOI-2513.01,KOI-2513,19.00547,0.5,0.36,2.802,7310.05336,7310.05336,2000.0,78.19,758.0,89.7,5900.0,1.2,0.91,,-0.37,4.3,1369.87,,1369.87,Transit,2023,Unknown
KOI-3503 b,KOI-3503,21.185,0.14247,0.0,1.19,9.2,9.2,10.0,90.2,785.0,88.42,6001.0,1.25,0.86,0.3,-0.47,4.25,887.064,1.09861,887.064,Transit,2021,Unknown
KOI-3503 c,KOI-3503,31.828,0.18688,0.0,1.21,10.36,10.36,10.0,52.5,686.0,89.38,6001.0,1.25,0.86,0.3,-0.47,4.25,887.064,1.09861,887.064,Transit,2021,Unknown
KOI-351 b,KOI-351,7.00828076,0.074164,0.0,1.3,181.9943656999999,,,300.1,1062.0,89.36,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 c,KOI-351,8.71982853,0.085794,0.0,1.445,169.76040523999998,,,224.4,987.0,88.84,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 d,KOI-351,59.7370348,0.309468,0.0,2.866,342.0294943599999,,,17.2,520.0,89.99,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 e,KOI-351,91.9404603,0.412532,0.0,2.612,371.3098642999999,,,9.7,450.0,89.98,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 f,KOI-351,124.916337,0.506057,0.0,2.77,332.9829345600001,,,6.4,407.0,88.33,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 g,KOI-351,210.6031105,0.716852,0.0,7.718,22.70578,254.264,0.27213,3.2,342.0,90.0,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-351 h,KOI-351,331.6011081,0.970206,0.0,11.252,235.74952,381.396,0.91183,1.7,294.0,89.99,6015.0,1.19,1.11,0.269,0.1,4.3,848.254,1.15007,848.254,Transit,2013,Unknown
KOI-3680 b,KOI-3680,141.241671,0.534,0.496,11.097,613.4119,613.4119,2.46,3.3,347.0,89.892,5830.0,0.96,1.01,0.068,0.16,4.47,921.986,1.05642,921.986,Transit,2018,Unknown
KOI-4777.01,KOI-4777,0.412,0.008,0.0,0.51,99.2,99.2,,320.0,1180.0,87.0,3515.0,0.4,0.41,-1.64,0.1,4.77,172.245,5.77722,172.245,Transit,2014,Unknown
KOI-7368 b,KOI-7368,6.8430344,0.0678,0.0,2.22,90.5877548399999,,,99.24,805.0,71.62,5241.0,0.87,0.88,-0.316,0.058,4.5,264.995,3.7449,264.995,Transit,2022,Unknown
KOI-94 b,KOI-94,3.74317556,0.049815,0.0,1.638,5.75695,10.5,7.21776,989.2,1423.0,89.94,6184.0,1.43,1.18,0.43,0.11,4.2,477.052,2.0676,477.052,Transit,2013,Unknown
KOI-94 c,KOI-94,10.42367777,0.098601,0.0,3.864,6.20426,7.8,0.59256,252.2,1012.0,89.924,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,2.0676,477.052,Transit,2013,Unknown
KOI-94 d,KOI-94,22.34296959,0.163918,0.0,10.311,79.60183,58.4,0.4001,91.2,785.0,89.87,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,2.0676,477.052,Transit,2013,Unknown
KOI-94 e,KOI-94,54.31998605,0.296373,0.0,6.116,8.09386,13.0,0.19494,27.9,584.0,89.554,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,2.0676,477.052,Transit,2013,Unknown
KOI-984 b,KOI-984,4.2881785,0.0504,0.006,4.3,276.4496809399999,,,186.31,1022.0,88.93,5295.0,0.82,0.93,,0.12,4.54,252.667,,252.667,Transit,2022,Unknown
KPS-1 b,KPS-1,1.70632513,0.0269,0.0,11.545,346.4347,346.4347,1.31,729.0,1459.0,83.2,5165.0,0.91,0.89,,0.22,4.47,262.706,3.778,262.706,Transit,2018,Gas Giant
Kepler-10 b,Kepler-10,0.83749133,0.016606,0.0,1.489,3.65784,3.26,6.10509,3820.0,2188.0,84.8,5708.0,1.06,0.87,0.055,-0.15,4.34,185.506,5.36185,185.506,Transit,2011,Unknown
Kepler-10 c,Kepler-10,45.29431717,0.237488,0.0,2.34,12.07051,11.4,5.19074,18.68,578.0,89.623,5708.0,1.06,0.87,0.055,-0.15,4.37,185.506,5.36185,185.506,Transit,2011,Unknown
Kepler-100 b,Kepler-100,6.88706037,0.073063,0.0,1.344,5.44492,7.34,12.35791,459.2,1155.0,85.37,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,3.2537,304.645,Transit,2014,Unknown
Kepler-100 c,Kepler-100,12.81588378,0.110537,0.0,2.34,4.00223,7.05,1.7211,200.8,939.0,87.4,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,3.2537,304.645,Transit,2014,Unknown
Kepler-100 d,Kepler-100,35.3330866,0.217335,0.0,1.536,1.77308,3.0,2.69592,51.9,670.0,88.92,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,3.2537,304.645,Transit,2014,Unknown
Kepler-1000 b,Kepler-1000,120.01862647,0.5326,0.0,5.63,470.7808904400003,,,17.2,473.0,89.5,6469.13,1.81,1.32,0.715,0.01,4.04,1115.62,0.867489,1115.62,Transit,2016,Unknown
Kepler-1001 b,Kepler-1001,14.30512269,0.11147,0.0,2.909,144.12121943999992,,,40.2,693.0,85.25,5376.0,0.84,0.93,-0.279,0.04,4.56,928.978,1.04803,928.978,Transit,2016,Unknown
Kepler-1001 c,Kepler-1001,9.18186,0.08296,0.0,1.578,137.01106042000012,,,72.4,804.0,79.49,5376.0,0.84,0.93,-0.279,0.04,4.56,928.978,1.04803,928.978,Transit,2020,Unknown
Kepler-1002 b,Kepler-1002,4.33642556,0.0564,0.0,1.75,212.24141710000032,,,1054.56,1453.0,84.15,5907.13,1.6,1.27,,0.043,4.13,408.303,,408.303,Transit,2016,Unknown
Kepler-1003 b,Kepler-1003,3.55485675,0.04333,0.0,2.012,200.3164972799999,,,817.5,1157.0,88.47,6010.0,1.28,1.11,0.282,-0.3,4.27,941.902,1.03299,941.902,Transit,2016,Unknown
Kepler-1004 b,Kepler-1004,5.28785367,0.06791,0.0,6.538,413.3047271999998,,,1498.3,1661.0,83.69,4917.72,3.55,1.49,,0.104,3.43,1152.68,0.839382,1152.68,Transit,2016,Gas Giant
Kepler-1005 b,Kepler-1005,6.49804884,0.06717,0.0,1.619,100.4872235000002,,,291.2,1026.0,84.0,5733.54,1.18,1.02,0.136,-0.035,4.3,567.806,1.7323,567.806,Transit,2016,Unknown
Kepler-1006 b,Kepler-1006,19.76185973,0.1464,0.0,3.616,209.6044764800003,,,153.49,791.0,86.86,6332.0,1.51,1.06,,-0.14,4.33,,,,Transit,2016,Unknown
Kepler-1007 b,Kepler-1007,5.18503596,0.048,0.0,1.15,150.51981428000022,,,42.62,652.0,89.94,4549.53,0.56,0.55,,0.228,4.68,,,,Transit,2016,Unknown
Kepler-1008 b,Kepler-1008,12.43931336,0.09755,0.0,1.206,68.79149993999998,,,33.1,627.0,88.35,5066.94,0.72,0.85,-0.507,0.045,4.65,282.565,3.51014,282.565,Transit,2016,Unknown
Kepler-1009 b,Kepler-1009,11.35008767,0.0796,0.0,2.381,114.87357056000008,,,11.56,403.0,89.95,3940.0,0.69,0.66,-0.987,0.4,4.58,355.019,2.79009,355.019,Transit,2016,Unknown
Kepler-101 b,Kepler-101,3.48768943,0.04844,0.0,5.97,51.1,51.1,1.45,1076.4,1445.0,89.79,5661.0,1.66,1.24,0.42,0.39,3.95,927.981,1.04884,927.981,Transit,2014,Neptune-like
Kepler-101 c,Kepler-101,6.02979518,0.06976,0.0,1.241,3.78,3.78,10.5,519.9,1204.0,88.0,5661.0,1.66,1.24,0.42,0.39,3.95,927.981,1.04884,927.981,Transit,2014,Unknown
Kepler-1010 b,Kepler-1010,34.26873173,0.193,0.0,2.228,83.58290200000002,,,10.17,477.0,89.07,5123.0,0.79,0.86,-0.412,0.18,4.58,579.273,1.69765,579.273,Transit,2016,Unknown
Kepler-1011 b,Kepler-1011,5.7532225,0.0633,0.0,2.501,2619.9109473399985,,,108.79,920.0,85.36,5146.0,0.82,0.87,-0.376,0.48,4.55,736.779,1.32886,736.779,Transit,2016,Unknown
