pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
Kepler-363 c,Kepler-363,7.54238364,0.0806,0.0,1.753,66.4,66.4,,352.4,1054.0,88.44,5529.7,1.66,0.97,0.365,0.397,3.99,762.596,1.28244,762.596,Transit,2014,Unknown
Kepler-363 d,Kepler-363,11.93207573,0.1094,0.0,2.221,255.25869346000016,,,190.7,905.0,89.52,5529.7,1.66,0.97,0.365,0.397,3.99,762.596,1.28244,762.596,Transit,2014,Unknown
Kepler-364 b,Kepler-364,25.74609259,0.17494,0.0,1.599,223.20775810000015,,,67.6,753.0,88.22,6199.63,1.3,1.19,0.351,-0.031,4.29,891.462,1.09287,891.462,Transit,2014,Unknown
Kepler-364 c,Kepler-364,59.98067943,0.3074,0.0,2.194,351.22408850000016,,,21.8,568.0,88.03,6199.63,1.3,1.19,0.351,-0.031,4.29,891.462,1.09287,891.462,Transit,2014,Unknown
Kepler-365 b,Kepler-365,10.66489164,0.0961,0.0,1.76,213.10622393999964,,,132.15,865.0,89.29,5744.35,1.02,1.04,,-0.218,4.44,1038.99,,1038.99,Transit,2014,Unknown
Kepler-365 c,Kepler-365,17.78400202,0.1351,0.0,1.6,229.28635229999983,,,66.87,729.0,89.81,5744.35,1.02,1.04,,-0.218,4.44,1038.99,,1038.99,Transit,2014,Unknown
Kepler-366 b,Kepler-366,3.28191397,0.04447,0.0,2.496,274.63010969999993,,,1703.1,1326.0,88.5,5947.0,1.82,1.09,0.573,-0.06,3.95,1856.28,0.510384,1856.28,Transit,2014,Unknown
Kepler-366 c,Kepler-366,12.51609488,0.10856,0.0,3.009,243.88206684000025,,,286.6,848.0,89.93,5947.0,1.82,1.09,0.573,-0.06,3.95,1856.28,0.510384,1856.28,Transit,2014,Unknown
Kepler-367 b,Kepler-367,37.8164766,0.20205,0.0,1.124,77.46254565999983,,,6.0,401.0,89.43,4799.55,0.71,0.78,-0.617,0.197,4.62,188.027,5.2896,188.027,Transit,2014,Unknown
Kepler-367 c,Kepler-367,53.57824253,0.2549,0.0,1.323,100.02284353999978,,,3.8,357.0,89.16,4799.55,0.71,0.78,-0.617,0.197,4.62,188.027,5.2896,188.027,Transit,2014,Unknown
Kepler-368 b,Kepler-368,26.84724286,0.18472,0.0,3.417,309.6214950200001,,,101.4,800.0,88.58,5395.36,2.19,0.94,0.562,0.03,3.73,770.978,1.26854,770.978,Transit,2014,Unknown
Kepler-368 c,Kepler-368,72.381301,0.35782,0.0,3.961,620.5826704000003,,,27.1,575.0,88.95,5459.0,2.09,1.17,0.562,0.13,3.73,770.978,1.26854,770.978,Transit,2014,Unknown
Kepler-369 b,Kepler-369,2.73276089,0.0316,0.0,1.42,116.46631685999996,,,52.68,687.0,86.76,3655.0,0.57,0.56,-1.286,0.07,4.68,,,,Transit,2014,Unknown
Kepler-369 c,Kepler-369,14.87146156,0.0977,0.0,1.59,73.41108357999993,,,5.51,391.0,89.98,3655.0,0.57,0.56,-1.286,0.07,4.68,,,,Transit,2014,Unknown
Kepler-37 b,Kepler-37,13.3669309,0.10177,0.0,0.276,0.79,0.79,140.0,44.5,718.0,88.63,5357.0,0.79,0.79,-0.322,-0.36,4.61,63.9207,15.6155,63.9207,Transit,2013,Unknown
Kepler-37 c,Kepler-37,21.30199109,0.13885,0.0,0.718,1.3,1.3,15.0,23.9,615.0,89.07,5357.0,0.79,0.79,-0.322,-0.36,4.61,63.9207,15.6155,63.9207,Transit,2013,Unknown
Kepler-37 d,Kepler-37,39.79223792,0.210603,0.0,1.91,2.0,2.0,1.3,10.39,499.0,89.335,5357.0,0.79,0.79,-0.322,-0.36,4.61,63.9207,15.6155,63.9207,Transit,2013,Unknown
Kepler-37 e,Kepler-37,50.25,0.25,0.0,0.37,8.1,,,,401.0,89.95,5348.0,0.79,0.79,-0.322,-0.25,4.61,63.9207,15.6155,63.9207,Transit Timing Variations,2014,Unknown
Kepler-370 b,Kepler-370,4.57952257,0.05368,0.0,1.526,124.5999416000002,,,335.4,1040.0,89.72,5651.01,1.05,1.0,0.006,0.132,4.4,1167.94,0.828058,1167.94,Transit,2014,Unknown
Kepler-370 c,Kepler-370,19.02490319,0.13873,0.0,2.249,123.2668034800002,,,50.3,647.0,88.73,5651.01,1.05,1.0,0.006,0.132,4.4,1167.94,0.828058,1167.94,Transit,2014,Unknown
Kepler-371 b,Kepler-371,34.76300931,0.19957,0.0,2.303,194.85753179999992,,,37.9,554.0,89.04,5794.01,1.31,1.04,0.244,-0.197,4.22,813.192,1.20114,813.192,Transit,2014,Unknown
Kepler-371 c,Kepler-371,67.9687026,0.31209,0.0,2.105,338.0825925600001,,,15.5,443.0,89.71,5710.0,1.26,0.88,0.244,-0.21,4.22,813.192,1.20114,813.192,Transit,2014,Unknown
