pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
TOI-3884 b,TOI-3884,4.5445828,0.0361,0.06,6.43,32.59,32.59,0.67,6.29,441.0,89.81,3180.0,0.3,0.3,-2.032,0.04,4.97,43.1448,Transit,2022
TOI-3894 b,TOI-3894,4.3345401,0.0543,0.048,15.222,270.15415,270.15415,0.418,546.9,1519.0,84.86,6000.0,1.5,1.14,0.419,0.021,4.14,417.365,Transit,2024
TOI-3912 b,TOI-3912,3.4936264,0.0463,0.0,14.28,129.03833,129.03833,0.243,872.2,1512.0,85.64,5725.0,1.39,1.09,0.273,0.187,4.19,465.992,Transit,2023
TOI-3919 b,TOI-3919,7.433234,0.0795,0.259,12.319,1233.17422,1233.17422,3.63,184.32,1198.0,86.98,6100.0,1.32,1.21,0.336,0.175,4.28,604.591,Transit,2024
TOI-3976 A b,TOI-3976 A,6.607662,0.0743,0.0,12.274,55.61997,55.61997,0.165,469.0,1295.0,87.28,5975.0,1.5,1.25,0.413,0.182,4.18,516.087,Transit,2023
TOI-3984 A b,TOI-3984 A,4.353326,0.041,0.23,7.9,44.0,44.0,0.49,16.7,563.0,89.5,3476.0,0.47,0.49,,0.18,4.81,108.883,Transit,2023
TOI-4010 b,TOI-4010,1.348335,0.0229,0.03,3.02,11.0,11.0,2.2,714.0,1441.0,88.1,4960.0,0.83,0.88,,0.37,4.54,177.504,Transit,2023
TOI-4010 c,TOI-4010,5.414654,0.058,0.03,5.93,20.31,20.31,0.5,112.0,907.0,88.8,4960.0,0.83,0.88,,0.37,4.54,177.504,Transit,2023
TOI-4010 d,TOI-4010,14.70886,0.113,0.07,6.18,38.15,38.15,0.9,30.0,650.0,89.0,4960.0,0.83,0.88,,0.37,4.54,177.504,Transit,2023
TOI-4010 e,TOI-4010,762.0,1.57,0.26,,692.0,,,0.15,174.0,,4960.0,0.83,0.88,,0.37,4.54,177.504,Radial Velocity,2023
TOI-406 c,TOI-406,3.307441,0.0322,0.032,1.32,2.08,2.08,4.9,19.0,584.0,87.6,3392.0,0.41,0.41,-1.714,-0.02,4.69,31.0597,Transit,2024
TOI-406.01,TOI-406,13.175682,0.0809,0.056,2.08,6.57,6.57,4.1,3.0,368.0,89.4,3392.0,0.41,0.41,-1.714,-0.02,4.69,31.0597,Transit,2024
TOI-4087 b,TOI-4087,3.1774835,0.04469,0.0,13.047,232.01474,232.01474,0.57,753.9,1458.0,87.82,6060.0,1.11,1.18,0.176,0.237,4.42,301.676,Transit,2023
TOI-411 b,HD 22946,4.040295,0.05727,0.126,1.362,13.71,13.71,18.96,495.14,1241.0,88.3,6169.0,1.12,1.1,,-0.08,4.47,62.7792,Transit,2022
TOI-411 c,HD 22946,9.573083,0.1017,0.16,2.328,9.72,9.72,3.15,156.75,931.0,88.57,6169.0,1.12,1.1,,-0.08,4.47,62.7792,Transit,2022
TOI-4127 b,TOI-4127,56.39879,0.3081,0.7471,12.285,731.00534,731.00534,2.17,22.3,605.0,89.3,6096.0,1.29,1.23,0.316,0.14,4.26,319.632,Transit,2023
TOI-4137 b,TOI-4137,3.8016122,0.05222,0.0,13.574,457.67291,457.67291,1.01,1013.0,1570.0,85.7,6202.0,1.44,1.31,0.439,0.182,4.24,334.993,Transit,2022
TOI-4145 A b,TOI-4145 A,4.0664428,0.04823,0.0,13.305,136.66622,136.66622,0.32,223.0,1074.0,86.2,5281.0,0.86,0.91,-0.287,0.168,4.53,205.387,Transit,2023
TOI-4153 b,TOI-4153,4.6174141,0.06311,0.039,16.119,365.50267,365.50267,0.477,1212.01,1669.0,88.75,6860.0,1.6,1.57,0.713,0.317,4.22,423.84,Transit,2024
TOI-4184 b,TOI-4184,4.9019804,0.0336,,2.43,,,,4.8,412.0,89.43,3238.0,0.23,0.21,-2.264,-0.27,5.01,69.3649,Transit,2023
TOI-4201 b,TOI-4201,3.5819232,0.03944,0.062,12.69,825.0,825.0,2.22,49.6,739.0,88.24,3920.0,0.62,0.63,-1.092,0.3,4.65,189.011,Transit,2023
TOI-421 b,TOI-421,5.197576,0.0554,0.13,2.64,6.7,6.7,2.04004,154.57,922.0,85.68,5291.0,0.87,0.83,,-0.044,4.48,74.7969,Transit,2020
TOI-421 c,TOI-421,16.067541,0.117,0.19,5.09,14.1,14.1,0.58996,34.32,635.0,88.353,5291.0,0.87,0.83,,-0.044,4.48,74.7969,Transit,2020
TOI-4308 b,TOI-4308,9.151201,,,2.419,,,,55.36,763.0,89.07,5243.0,0.79,0.9,,,4.59,108.932,Transit,2023
TOI-431 b,TOI-431,0.490052,0.0113,0.0,1.28,3.07,3.07,8.0,2120.45,1862.0,84.3,4850.0,0.73,0.78,,0.2,4.6,32.5686,Transit,2021
TOI-431 c,TOI-431,4.8494,0.052,0.0,,2.83,,,,867.0,86.35,4850.0,0.73,0.78,,0.2,4.6,32.5686,Radial Velocity,2021
TOI-431 d,TOI-431,12.4610213,0.098,0.0,3.29,9.9,9.9,1.36,28.36,633.0,89.7,4850.0,0.73,0.78,,0.2,4.6,32.5686,Transit,2021
TOI-4329 b,TOI-4329,2.9223,,0.068,16.813,143.02278,143.02278,,3990.57,2027.0,,6000.0,2.31,1.54,,0.29,3.9,717.128,Transit,2022
TOI-4336 A b,TOI-4336 A,16.336334,0.0872,,2.12,,,,1.5,308.0,89.55,3298.0,0.33,0.33,-1.943,-0.209,4.93,22.5455,Transit,2024
TOI-4342 b,TOI-4342,5.5382498,0.05251,,2.266,,,,26.9,634.0,89.13,3901.0,0.6,0.63,-1.127,,4.69,61.5204,Transit,2023
TOI-4342 c,TOI-4342,10.688716,0.0814,,2.415,,,,11.18,509.0,89.63,3901.0,0.6,0.63,-1.127,,4.69,61.5204,Transit,2023
TOI-4377 b,TOI-4377,4.378081,0.0579,0.045,15.11,304.16179,304.16179,0.881,431.1,1162.0,80.3,4974.0,3.52,1.36,0.822,0.205,3.39,455.82,Transit,2023
TOI-4379 b,TOI-4379,3.25352,,0.018,16.69,353.74302,353.74302,,2886.09,1869.0,,6020.0,1.98,1.37,0.637,0.16,3.93,645.158,Transit,2024
