pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,,3.09,,,5.56,5.56,,,,,,,0.47,,,,4150.0,Microlensing,2022
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,,0.763,,,111.0,111.0,,,,,,,0.09,,,,967.0,Microlensing,2019
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,,4.27,,,346.43296,346.43296,,,,,,,0.69,,,,5910.0,Microlensing,2021
KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,,3.81,,,365.50267,365.50267,,,,,,,0.66,,,,4310.0,Microlensing,2022
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,,3.1,,,9.2,9.2,,,,,,,0.7,,,,4900.0,Microlensing,2022
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,,0.96,,,6038.73973,6038.73973,,,,,,,0.21,,,,3090.0,Microlensing,2023
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,,5.67,,,575.26942,575.26942,,,,,,,0.7,,,,6710.0,Microlensing,2023
KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,,1.64,,,6674.39655,6674.39655,,,,,,,0.32,,,,7710.0,Microlensing,2023
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,,0.79,,,2447.27873,2447.27873,,,,,,,0.09,,,,7010.0,Microlensing,2021
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,,1.4,,,619.76539,619.76539,,,,,,,0.74,,,,4410.0,Microlensing,2022
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,,3.31,,,10.28,10.28,,,,,,,0.76,,,,3320.0,Microlensing,2020
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,,1.1,,,15.5,15.5,,,,,,,0.28,,,,7200.0,Microlensing,2022
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,,1.7,,,60.3874,60.3874,,,,,,,0.3,,,,6600.0,Microlensing,2022
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,,2.359,,,28.60456,28.60456,,,,,,,0.37,,,,2649.0,Microlensing,2023
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,,2.8,,,404.0,404.0,,,,,,,0.49,,,,6000.0,Microlensing,2020
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,,1.7,,,4.08,4.08,,,,,,,0.25,,,,4670.0,Microlensing,2023
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,,2.6,,,1287.20505,1287.20505,,,,,,,0.79,,,,4600.0,Microlensing,2022
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,,2.8,,,454.49462,454.49462,,,,,,,0.59,,,,3770.0,Microlensing,2021
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,,3.11,,,4.63,4.63,,,,,,,0.73,,,,6680.0,Microlensing,2023
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,200.0,200.0,,,,,,,0.31,,,,7040.0,Microlensing,2020
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,,1.85,,,368.68095,368.68095,,,,,,,0.34,,,,5910.0,Microlensing,2023
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,,2.0,,,88.99195,88.99195,,,,,,,0.47,,,,6100.0,Microlensing,2022
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,,1.79,,,1.21,1.21,,,,,,,0.36,,,,1220.0,Microlensing,2021
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,,0.16,,,7405.40188,7405.40188,,,,,,,0.36,,,,1220.0,Microlensing,2021
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,,3.23,,,1897.43559,1897.43559,,,,,,,0.69,,,,3510.0,Microlensing,2022
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,,3.6,,,5.8,5.8,,,,,5200.0,,0.79,,,,4800.0,Microlensing,2022
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,,1.62,,,34.96112,34.96112,,,,,,,0.27,,,,5120.0,Microlensing,2022
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,3.1,,,66.74397,66.74397,,,,,,,0.56,,,,6600.0,Microlensing,2022
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,,2.55,,,31.78284,31.78284,,,,,,,0.32,,,,6950.0,Microlensing,2022
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,,,,,2034.1018,2034.1018,,,,,,,0.62,,,,6600.0,Microlensing,2021
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,,1.57,,,25.76,25.76,,,,,,,0.14,,,,2080.0,Microlensing,2023
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,,2.43,,,143.02278,143.02278,,,,,,,0.36,,,,6090.0,Microlensing,2022
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,,1.75,,,400.46379,400.46379,,,,,,,0.38,,,,6480.0,Microlensing,2023
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,,3.03,,,6.92,6.92,,,,,,,0.75,,,,6710.0,Microlensing,2022
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,,1.26,,,69.92225,69.92225,,,,,,,0.14,,,,8240.0,Microlensing,2022
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,,0.93,,,79.4571,79.4571,,,,,,,0.14,,,,8240.0,Microlensing,2022
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,,4.79,,,772.32303,772.32303,,,,,,,1.17,,,,4140.0,Microlensing,2023
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,,4.5,,,279.689,279.689,,,,,,,0.73,,,,3800.0,Microlensing,2023
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,,1.76,,,17.42,17.42,,,,,,,0.22,,,,6780.0,Microlensing,2022
KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,,2.89,,,120.77479,120.77479,,,,,,,0.57,,,,6280.0,Microlensing,2022
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,,2.37,,,61.27,61.27,,,,,,,0.42,,,,5970.0,Microlensing,2022
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,,1.63,,,3.57,3.57,,,,,,,0.23,,,,6720.0,Microlensing,2022
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,,4.5,,,467.20776,467.20776,,,,,,,0.72,,,,5070.0,Microlensing,2023
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,,0.96,,,38.13941,38.13941,,,,,,,0.08,,,,7680.0,Microlensing,2022
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,,3.3,,,39.0,39.0,,,,,4570.0,,0.68,,,,5000.0,Microlensing,2022
KMT-2021-BLG-1770L b,KMT-2021-BLG-1770L,,0.9,,,6674.39655,6674.39655,,,,,,,0.13,,,,6920.0,Microlensing,2023
KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,,1.9,,,232.01474,232.01474,,,,,,,0.48,,,,6900.0,Microlensing,2022
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,,2.42,,,340.0764,340.0764,,,,,,,0.37,,,,7090.0,Microlensing,2023
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,,0.94,,,22.24799,22.24799,,,,,,,0.11,,,,6860.0,Microlensing,2022
KMT-2021-BLG-2478L b,KMT-2021-BLG-2478L,,1.87,,,286.04557,286.04557,,,,,,,0.2,,,,3060.0,Microlensing,2023
KMT-2021-BLG-2609L b,KMT-2021-BLG-2609L,,2.3,,,35.59678,35.59678,,,,,,,0.2,,,,7480.0,Microlensing,2024
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,,4.81,,,163.04597,163.04597,,,,,,,0.37,,,,6570.0,Microlensing,2024
KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,,3.42,,,82.63539,82.63539,,,,,,,0.63,,,,7140.0,Microlensing,2023
KMT-2022-BLG-0440L b,KMT-2022-BLG-0440L,,1.9,,,15.4,15.4,,,,,,,0.53,,,,3500.0,Microlensing,2023
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,,1.38,,,98.52681,98.52681,,,,,,,0.18,,,,7710.0,Microlensing,2023
KMT-2022-BLG-2286L b,KMT-2022-BLG-2286L,,3.32,,,13666.6215,13666.6215,,,,,,,0.45,,,,6710.0,Microlensing,2024
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,,3.73,,,1954.6447,1954.6447,,,,,,,0.61,,,,6330.0,Microlensing,2024
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,,2.31,,,39.41072,39.41072,,,,,,,0.47,,,,7070.0,Microlensing,2024
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,,2.66,,,38.77507,38.77507,,,,,,,0.61,,,,6390.0,Microlensing,2024
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,,2.3,,,13.4,13.4,,,,,,,0.57,,,,6900.0,Microlensing,2024
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,,1.18,,,200.2319,200.2319,,,,,,,0.17,,,,7220.0,Microlensing,2024
KMT-2023-BLG-1642L b,KMT-2023-BLG-1642L,,1.41,,,343.25468,343.25468,,,,,,,0.17,,,,6980.0,Microlensing,2024
KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,,1.16,,,6356.56814,6356.56814,,,,,,,0.11,,,,7130.0,Microlensing,2024
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,,2.48,,,3.98,3.98,,,,,,,0.49,,,,6470.0,Microlensing,2024
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,,,,,13.68,13.68,,,,,,,0.13,,,,6710.0,Microlensing,2024
KOI-12 b,KOI-12,17.8552276,0.1491,0.0,14.433,349.613,349.613,,196.51,911.0,88.95,6820.0,1.63,1.45,0.626,0.09,4.34,399.398,Transit,2015
KOI-1257 b,KOI-1257,86.64767898,0.3786,0.0,9.4,460.83,460.83,2.1,7.28,419.0,90.0,5522.0,1.12,0.96,,0.26,4.32,,Transit,2014
KOI-13 b,KOI-13,1.76358762,0.0386,0.00064,17.627,2949.4624,2949.4624,3.6,25339.9,3559.0,86.77,8848.0,2.44,1.83,,0.07,3.93,519.096,Transit,2011
KOI-142 b,KOI-142,10.91610834,0.095822,0.0,3.796,11.3568,9.5,1.14401,70.5,758.0,90.97,5466.0,0.9,0.98,-0.165,0.27,4.45,376.863,Transit,2013
KOI-142 c,KOI-142,22.267161,0.154121,0.0,,207.71418,214.1,,,,93.15,5466.0,0.9,0.98,-0.223,0.27,4.53,376.863,Transit Timing Variations,2013
KOI-1599.01,KOI-1599,20.4415,0.14728,0.014,1.9,4.6,4.6,,44.8,660.0,89.78,5833.0,0.97,1.02,0.162,0.06,4.32,1131.64,Transit,2019
KOI-1599.02,KOI-1599,13.6088,0.112293,0.0114,1.9,9.0,9.0,,76.81,755.0,88.6,5833.0,0.97,1.02,0.162,0.06,4.32,1131.64,Transit,2019
KOI-1783.01,KOI-1783,134.4628,0.52661,0.0,8.86,71.0,71.0,0.56,5.7,412.0,89.441,5922.0,1.14,1.08,0.213,0.11,4.3,865.73,Transit,2020
KOI-1783.02,KOI-1783,284.215,0.86695,0.0,5.44,15.0,15.0,0.51,2.49,321.0,89.65,5922.0,1.14,1.08,0.213,0.11,4.3,865.73,Transit,2020
KOI-1831 d,Kepler-324,34.169,0.19924,0.0,1.13,2.23,2.23,9.95,11.8,475.0,89.62,5233.0,0.83,0.9,-0.308,0.18,4.52,501.574,Transit,2021
KOI-1833 d,Kepler-968,7.685,0.0634,0.0,2.58,11.02,11.02,4.5,27.35,613.0,86.87,4413.0,0.67,0.68,-0.763,-0.58,4.59,290.324,Transit,2021
KOI-217 b,KOI-217,3.9050824,0.0485,0.0,12.505,,,,272.03,1046.0,89.37,5381.0,0.95,0.93,-0.169,0.11,4.45,914.699,Transit,2010
KOI-2513.01,KOI-2513,19.00547,0.5,0.36,2.802,7310.05336,7310.05336,2000.0,78.19,758.0,89.7,5900.0,1.2,0.91,,-0.37,4.3,1369.87,Transit,2023
KOI-3503 b,KOI-3503,21.185,0.14247,0.0,1.19,9.2,9.2,10.0,90.2,785.0,88.42,6001.0,1.25,0.86,0.3,-0.47,4.25,887.064,Transit,2021
KOI-3503 c,KOI-3503,31.828,0.18688,0.0,1.21,10.36,10.36,10.0,52.5,686.0,89.38,6001.0,1.25,0.86,0.3,-0.47,4.25,887.064,Transit,2021
KOI-351 b,KOI-351,7.00828076,0.074164,0.0,1.3,,,,300.1,1062.0,89.36,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 c,KOI-351,8.71982853,0.085794,0.0,1.445,,,,224.4,987.0,88.84,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 d,KOI-351,59.7370348,0.309468,0.0,2.866,,,,17.2,520.0,89.99,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 e,KOI-351,91.9404603,0.412532,0.0,2.612,,,,9.7,450.0,89.98,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 f,KOI-351,124.916337,0.506057,0.0,2.77,,,,6.4,407.0,88.33,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 g,KOI-351,210.6031105,0.716852,0.0,7.718,22.70578,254.264,0.27213,3.2,342.0,90.0,6031.13,1.25,1.11,0.269,0.083,4.3,848.254,Transit,2013
KOI-351 h,KOI-351,331.6011081,0.970206,0.0,11.252,235.74952,381.396,0.91183,1.7,294.0,89.99,6015.0,1.19,1.11,0.269,0.1,4.3,848.254,Transit,2013
KOI-3680 b,KOI-3680,141.241671,0.534,0.496,11.097,613.4119,613.4119,2.46,3.3,347.0,89.892,5830.0,0.96,1.01,0.068,0.16,4.47,921.986,Transit,2018
KOI-4777.01,KOI-4777,0.412,0.008,0.0,0.51,99.2,99.2,,320.0,1180.0,87.0,3515.0,0.4,0.41,-1.64,0.1,4.77,172.245,Transit,2014
KOI-4978 b,KOI-4978,0.941967,,,0.7,,,,,,,5050.28,0.97,0.86,,,,936.341,Transit,2024
KOI-7368 b,KOI-7368,6.8430344,0.0678,0.0,2.22,,,,99.24,805.0,71.62,5241.0,0.87,0.88,-0.316,0.058,4.5,264.995,Transit,2022
KOI-7913 b,KOI-7913 A,24.278553,0.1456,0.0,2.34,,,,8.27,432.0,88.62,4324.0,0.79,0.76,-0.768,-0.06,4.52,271.277,Transit,2022
KOI-94 b,KOI-94,3.74317556,0.049815,0.0,1.638,5.75695,10.5,7.21776,989.2,1423.0,89.94,6184.0,1.43,1.18,0.43,0.11,4.2,477.052,Transit,2013
KOI-94 c,KOI-94,10.42367777,0.098601,0.0,3.864,6.20426,7.8,0.59256,252.2,1012.0,89.924,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,Transit,2013
KOI-94 d,KOI-94,22.34296959,0.163918,0.0,10.311,79.60183,58.4,0.4001,91.2,785.0,89.87,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,Transit,2013
KOI-94 e,KOI-94,54.31998605,0.296373,0.0,6.116,8.09386,13.0,0.19494,27.9,584.0,89.554,6182.0,1.52,1.18,0.479,0.023,4.18,477.052,Transit,2013
KOI-984 b,KOI-984,4.2881785,0.0504,0.006,4.3,,,,186.31,1022.0,88.93,5295.0,0.82,0.93,,0.12,4.54,252.667,Transit,2022
KOI-984 c,KOI-984,21.512,0.1467,0.38,,209.8,209.8,,,597.0,,5295.0,0.82,0.93,,0.12,4.54,252.667,Transit Timing Variations,2022
KPS-1 b,KPS-1,1.70632513,0.0269,0.0,11.545,346.4347,346.4347,1.31,729.0,1459.0,83.2,5165.0,0.91,0.89,,0.22,4.47,262.706,Transit,2018
Kapteyn c,Kapteyn,121.54,0.311,0.23,,7.0,,,,,,3550.0,0.29,0.28,,-0.89,,3.93305,Radial Velocity,2014
Kepler-10 b,Kepler-10,0.83749133,0.016606,0.0,1.489,3.65784,3.26,6.10509,3820.0,2188.0,84.8,5708.0,1.06,0.87,0.055,-0.15,4.34,185.506,Transit,2011
Kepler-10 c,Kepler-10,45.29431717,0.237488,0.0,2.34,12.07051,11.4,5.19074,18.68,578.0,89.623,5708.0,1.06,0.87,0.055,-0.15,4.37,185.506,Transit,2011
Kepler-10 d,Kepler-10,151.04,0.5379,0.26,,12.68,,,,,,5708.0,1.06,0.91,,-0.15,,185.506,Radial Velocity,2023
Kepler-100 b,Kepler-100,6.88706037,0.073063,0.0,1.344,5.44492,7.34,12.35791,459.2,1155.0,85.37,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,Transit,2014
Kepler-100 c,Kepler-100,12.81588378,0.110537,0.0,2.34,4.00223,7.05,1.7211,200.8,939.0,87.4,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,Transit,2014
Kepler-100 d,Kepler-100,35.3330866,0.217335,0.0,1.536,1.77308,3.0,2.69592,51.9,670.0,88.92,5859.0,1.56,1.1,0.411,0.09,4.08,304.645,Transit,2014
Kepler-100 e,Kepler-100,60.888588,0.312392,0.026437,,24.14272,,,,,,,,1.1,,,,304.645,Radial Velocity,2023
Kepler-1000 b,Kepler-1000,120.01862647,0.5326,0.0,5.63,,,,17.2,473.0,89.5,6469.13,1.81,1.32,0.715,0.01,4.04,1115.62,Transit,2016
Kepler-1001 b,Kepler-1001,14.30512269,0.11147,0.0,2.909,,,,40.2,693.0,85.25,5376.0,0.84,0.93,-0.279,0.04,4.56,928.978,Transit,2016
Kepler-1001 c,Kepler-1001,9.18186,0.08296,0.0,1.578,,,,72.4,804.0,79.49,5376.0,0.84,0.93,-0.279,0.04,4.56,928.978,Transit,2020
Kepler-1002 b,Kepler-1002,4.33642556,0.0564,0.0,1.75,,,,1054.56,1453.0,84.15,5907.13,1.6,1.27,,0.043,4.13,408.303,Transit,2016
Kepler-1003 b,Kepler-1003,3.55485675,0.04333,0.0,2.012,,,,817.5,1157.0,88.47,6010.0,1.28,1.11,0.282,-0.3,4.27,941.902,Transit,2016
Kepler-1004 b,Kepler-1004,5.28785367,0.06791,0.0,6.538,,,,1498.3,1661.0,83.69,4917.72,3.55,1.49,,0.104,3.43,1152.68,Transit,2016
Kepler-1005 b,Kepler-1005,6.49804884,0.06717,0.0,1.619,,,,291.2,1026.0,84.0,5733.54,1.18,1.02,0.136,-0.035,4.3,567.806,Transit,2016
Kepler-1006 b,Kepler-1006,19.76185973,0.1464,0.0,3.616,,,,153.49,791.0,86.86,6332.0,1.51,1.06,,-0.14,4.33,,Transit,2016
Kepler-1007 b,Kepler-1007,5.18503596,0.048,0.0,1.15,,,,42.62,652.0,89.94,4549.53,0.56,0.55,,0.228,4.68,,Transit,2016
Kepler-1008 b,Kepler-1008,12.43931336,0.09755,0.0,1.206,,,,33.1,627.0,88.35,5066.94,0.72,0.85,-0.507,0.045,4.65,282.565,Transit,2016
Kepler-1009 b,Kepler-1009,11.35008767,0.0796,0.0,2.381,,,,11.56,403.0,89.95,3940.0,0.69,0.66,-0.987,0.4,4.58,355.019,Transit,2016
Kepler-101 b,Kepler-101,3.48768943,0.04844,0.0,5.97,51.1,51.1,1.45,1076.4,1445.0,89.79,5661.0,1.66,1.24,0.42,0.39,3.95,927.981,Transit,2014
Kepler-101 c,Kepler-101,6.02979518,0.06976,0.0,1.241,3.78,3.78,10.5,519.9,1204.0,88.0,5661.0,1.66,1.24,0.42,0.39,3.95,927.981,Transit,2014
Kepler-1010 b,Kepler-1010,34.26873173,0.193,0.0,2.228,,,,10.17,477.0,89.07,5123.0,0.79,0.86,-0.412,0.18,4.58,579.273,Transit,2016
Kepler-1011 b,Kepler-1011,5.7532225,0.0633,0.0,2.501,,,,108.79,920.0,85.36,5146.0,0.82,0.87,-0.376,0.48,4.55,736.779,Transit,2016
Kepler-1012 b,Kepler-1012,5.50851139,0.06066,0.0,1.265,,,,174.1,934.0,82.78,5471.21,0.89,0.96,-0.194,0.264,4.52,411.077,Transit,2016
Kepler-1013 b,Kepler-1013,18.93059875,0.137,0.0,1.956,,,,16.1,766.0,89.07,4775.0,0.79,0.77,-0.531,0.36,4.53,422.246,Transit,2016
Kepler-1014 b,Kepler-1014,16.57098779,0.121,0.0,2.027,,,,33.48,614.0,89.16,5285.0,0.81,0.91,-0.337,-0.22,4.58,624.8,Transit,2016
Kepler-1015 b,Kepler-1015,16.00496778,0.1345,0.0,2.803,,,,180.0,1040.0,89.96,6390.1,1.55,1.28,0.559,-0.073,4.16,739.357,Transit,2016
Kepler-1016 b,Kepler-1016,1.95454386,0.03044,0.0,2.508,,,,1377.1,1540.0,82.98,5643.68,1.21,1.0,0.124,0.015,4.28,1402.82,Transit,2016
Kepler-1016 c,Kepler-1016,105.65357173,0.43519,0.0,4.15,,,,6.7,407.0,89.74,5643.68,1.21,1.0,0.124,0.015,4.28,1402.82,Transit,2016
Kepler-1017 b,Kepler-1017,7.23404806,0.07196,0.0,2.017,,,,111.4,831.0,89.93,5599.0,0.88,0.99,-0.161,0.2,4.54,552.058,Transit,2016
Kepler-1018 b,Kepler-1018,49.10109488,0.253,0.0,3.007,,,,12.1,498.0,89.43,5488.0,1.01,0.96,-0.082,0.2,4.41,1010.01,Transit,2016
Kepler-1019 b,Kepler-1019,1.41122727,0.0221,0.0,1.493,,,,330.25,1164.0,78.73,4205.32,0.74,0.66,-0.806,-0.159,4.51,194.182,Transit,2016
Kepler-102 b,Kepler-102,5.28695437,0.055205,0.0,0.471,1.1,1.1,62.0,90.0,857.0,89.78,4909.0,0.72,0.8,-0.584,0.11,4.6,107.796,Transit,2014
Kepler-102 c,Kepler-102,7.07136076,0.067016,0.0,0.554,1.7,1.7,52.0,61.0,777.0,89.82,4909.0,0.72,0.8,-0.584,0.11,4.6,107.796,Transit,2014
Kepler-102 d,Kepler-102,10.31173752,0.086179,0.0,1.34,4.54125,3.0,10.39951,36.9,686.0,89.49,4909.0,0.72,0.8,-0.584,0.11,4.6,107.796,Transit,2014
Kepler-102 e,Kepler-102,16.14569077,0.116203,0.0,2.414,4.74193,4.7,1.85735,20.3,590.0,89.488,4909.0,0.72,0.8,-0.584,0.11,4.6,107.796,Transit,2013
Kepler-102 f,Kepler-102,27.4537294,0.165544,0.0,0.753,4.3,4.3,37.0,10.0,495.0,89.32,4909.0,0.72,0.8,-0.584,0.11,4.6,107.796,Transit,2014
Kepler-1020 b,Kepler-1020,96.91512125,0.37594,0.0,2.157,,,,2.4,325.0,89.71,5238.53,0.73,0.89,-0.436,-0.147,4.65,415.358,Transit,2016
Kepler-1021 b,Kepler-1021,13.47479502,0.1034,0.0,2.239,,,,50.37,634.0,89.96,5283.0,0.86,0.91,-0.288,-0.34,4.53,810.082,Transit,2016
Kepler-1022 b,Kepler-1022,10.99470868,0.0805,0.0,1.86,,,,19.26,512.0,89.71,4283.0,0.68,0.67,-0.858,-0.44,4.6,420.042,Transit,2016
Kepler-1023 b,Kepler-1023,62.13839425,0.30284,0.0,2.73,,,,6.7,524.0,89.52,5268.0,0.96,0.9,-0.193,0.26,4.43,694.175,Transit,2016
Kepler-1024 b,Kepler-1024,66.41641966,0.3033,0.0,3.691,,,,5.45,376.0,89.7,5242.74,0.81,0.9,-0.35,-0.162,4.58,1087.4,Transit,2016
Kepler-1025 b,Kepler-1025,37.32250138,0.21607,0.0,2.261,,,,41.6,1654.0,88.92,6134.11,1.23,1.16,0.287,-0.225,4.32,803.776,Transit,2016
Kepler-1026 b,Kepler-1026,36.51574626,0.1977,0.0,2.243,,,,5.99,425.0,89.11,4844.0,0.7,0.79,-0.617,0.14,4.65,351.239,Transit,2016
Kepler-1027 b,Kepler-1027,1.90781434,0.02911,0.0,1.265,,,,1172.7,1268.0,86.74,5348.19,1.18,0.92,0.011,-0.009,4.26,405.104,Transit,2016
Kepler-1028 b,Kepler-1028,2.51461384,0.0354,0.0,1.263,,,,519.64,1217.0,88.78,5494.0,0.83,0.96,-0.245,-0.12,4.58,607.916,Transit,2016
Kepler-1029 b,Kepler-1029,4.41769252,0.047,0.0,1.57,,,,92.16,790.0,78.17,4757.73,0.72,0.77,-0.62,-0.08,4.61,366.656,Transit,2016
Kepler-103 b,Kepler-103,15.96533687,0.129399,0.0,3.257,13.90207,9.8,2.21706,149.9,973.0,87.914,6009.0,1.49,1.13,0.424,0.16,4.08,494.832,Transit,2014
Kepler-103 c,Kepler-103,179.6076602,0.649672,0.0,5.613,30.44501,38.0,0.9486,5.95,434.0,87.704,6009.0,1.49,1.13,0.424,0.16,4.08,494.832,Transit,2014
Kepler-1030 b,Kepler-1030,19.32948057,0.1338,0.0,2.14,,,,16.88,529.0,89.99,4943.05,0.72,0.81,-0.553,0.303,4.63,758.702,Transit,2016
Kepler-1031 b,Kepler-1031,1.22623246,0.0218,0.0,1.0,,,,3973.86,2024.0,89.93,6051.81,1.34,0.92,,-0.09,4.15,682.882,Transit,2016
Kepler-1032 b,Kepler-1032,3.29011408,0.0361,0.0,1.999,,,,176.14,802.0,89.3,4481.0,0.8,0.58,,-0.56,4.65,673.01,Transit,2016
Kepler-1033 b,Kepler-1033,7.56048552,0.0761,0.0,2.366,,,,159.42,914.0,89.92,5465.0,0.97,0.96,-0.126,-0.02,4.45,1455.5,Transit,2016
Kepler-1034 b,Kepler-1034,12.12400283,0.0965,0.0,2.057,,,,36.79,675.0,89.94,5099.0,0.77,0.86,-0.439,0.16,4.6,654.549,Transit,2016
Kepler-1035 b,Kepler-1035,2.71407763,0.03883,0.0,1.632,,,,1142.7,1301.0,84.01,5753.5,1.28,1.03,0.209,0.214,4.24,562.116,Transit,2016
Kepler-1036 b,Kepler-1036,122.87916295,0.47726,0.0,2.86,,,,2.6,326.0,89.24,5433.0,0.89,0.95,-0.202,0.197,4.51,489.435,Transit,2016
Kepler-1037 b,Kepler-1037,1.0637892,0.0198,0.0,1.222,,,,1015.43,1650.0,86.11,4968.98,0.81,0.82,-0.448,0.235,4.54,446.914,Transit,2016
Kepler-1038 b,Kepler-1038,148.46005746,0.5238,0.0,3.553,,,,1.51,285.0,89.66,5238.0,0.8,0.89,-0.362,0.16,4.58,584.136,Transit,2016
Kepler-1038 c,Kepler-1038,7.1276598,0.0692,0.0,1.416,,,,89.24,784.0,89.67,5159.0,0.82,0.87,-0.362,0.16,4.55,584.136,Transit,2021
Kepler-1039 b,Kepler-1039,0.934884,0.01714,0.0,1.345,,,,761.7,2080.0,78.54,4560.0,0.76,0.72,-0.649,0.13,4.53,306.91,Transit,2016
Kepler-104 b,Kepler-104,11.42754563,0.092859,0.0,2.38,9.94543,19.6,4.06485,126.7,852.0,87.76,5921.0,1.05,0.82,0.089,-0.38,4.43,400.785,Transit,2014
Kepler-104 c,Kepler-104,23.66836427,0.150882,0.0,2.36,7.14431,,2.99485,47.9,668.0,87.95,5921.0,1.05,0.82,0.089,-0.38,4.43,400.785,Transit,2014
Kepler-104 d,Kepler-104,51.75529576,0.254191,0.0,2.635,5.54022,,1.66854,16.9,515.0,89.14,5921.0,1.05,0.82,0.089,-0.38,4.43,400.785,Transit,2014
Kepler-1040 b,Kepler-1040,201.1206183,0.67249,0.0,2.106,,,,2.0,300.0,90.0,5689.91,0.98,1.01,-0.044,0.064,4.46,482.119,Transit,2016
Kepler-1041 b,Kepler-1041,24.75773988,0.1688,0.0,4.119,,,,117.96,644.0,86.17,5919.0,1.67,1.08,0.489,-0.16,4.03,1485.82,Transit,2016
Kepler-1042 b,Kepler-1042,10.1320241,0.0756,0.0,1.67,,,,25.66,574.0,89.93,4777.0,0.56,0.56,,-1.08,4.69,,Transit,2016
